amount,is_international,velocity_5min,is_new_merchant,account_age_days,failed_login_attempts,fraud,is_night,is_weekend
15895,1,7,0,1124,4,1,1,1
960,1,1,1,1143,0,0,0,0
5490,0,3,1,69,4,0,0,0
12064,1,6,0,664,2,1,0,0
11384,1,6,0,792,3,1,0,1
6365,0,7,1,221,0,1,1,0
16950,0,1,1,1010,2,0,0,0
4526,1,7,1,1965,2,1,1,0
14523,0,2,0,223,4,1,1,1
11463,0,6,1,677,1,1,0,1
16123,0,8,1,1978,1,1,1,0
8422,0,5,0,1528,0,0,0,1
1785,1,3,1,211,2,1,1,0
869,0,8,0,1815,3,0,0,0
2533,0,8,0,931,0,0,0,0
5411,0,4,1,1599,0,0,0,0
5151,1,8,1,886,4,1,0,0
6520,1,5,0,882,3,0,0,0
17668,0,5,0,262,2,1,1,1
19869,0,3,1,518,2,0,0,0
6496,1,7,0,1272,2,1,0,0
8766,0,9,0,1765,0,0,0,1
19042,0,9,1,798,4,1,0,0
18531,1,1,0,1281,0,1,1,0
2847,0,1,0,1087,1,0,1,0
289,0,5,0,1416,1,0,0,1
19218,1,1,0,540,2,1,0,0
3105,1,4,0,1881,4,1,1,1
1999,0,1,0,417,2,0,1,1
1367,1,2,1,53,2,0,0,0
18012,0,2,1,1788,0,0,0,0
11494,0,4,1,38,2,1,0,1
3656,0,8,1,308,2,1,0,1
3990,1,2,0,846,4,0,0,0
8938,1,9,1,1675,4,1,0,0
14602,0,9,0,898,4,1,0,0
10727,0,2,1,53,2,1,0,1
8892,1,1,0,606,4,0,0,0
10655,1,9,1,1630,4,1,1,1
10353,1,2,0,452,3,1,0,0
8533,0,8,1,461,3,1,0,0
10333,1,3,1,775,1,1,0,1
11116,1,1,1,1510,0,1,1,0
2712,0,1,1,1859,0,0,0,0
15887,0,2,1,1161,4,1,0,1
17259,0,7,0,1998,1,1,0,0
12306,1,6,1,1396,1,1,1,0
8326,0,2,0,1983,3,0,0,1
14641,0,4,1,1280,1,1,1,1
3252,0,2,1,395,2,0,0,0
1685,0,1,1,1061,4,0,0,0
4043,1,3,0,1678,2,0,0,0
19557,0,4,1,1171,0,0,0,0
1121,1,5,1,1032,3,1,0,0
11753,1,5,0,1275,2,1,1,0
10905,1,7,0,647,4,1,0,0
13517,0,8,0,1595,2,1,0,0
8089,1,9,0,1659,2,1,0,0
9792,0,7,1,1471,1,0,0,0
13090,0,5,0,263,3,0,0,0
6973,0,9,0,632,0,0,0,0
5775,1,8,1,1463,4,1,0,0
261,0,9,0,1283,4,0,0,0
4397,0,8,0,1347,0,0,0,1
1095,0,6,0,530,4,1,1,0
11634,1,4,1,301,1,1,0,1
7729,1,9,0,1889,2,1,0,0
1116,1,9,0,485,1,1,1,0
8629,0,9,0,92,1,0,0,0
17362,1,3,1,1188,1,1,0,0
9368,0,3,1,1680,0,0,0,0
12285,0,6,0,1359,3,1,0,1
6431,1,6,1,1949,0,1,0,0
8671,0,6,0,315,0,0,0,1
7308,1,5,1,1938,1,0,0,0
5376,0,5,1,945,3,0,1,0
18546,1,2,0,238,0,1,0,1
16548,0,7,0,1710,3,1,0,0
16316,0,4,0,83,1,0,1,0
8106,0,3,1,669,0,0,0,1
